name,id,phone_number,address,mode_of_payment,rating,web_url
 Santoshi Saree Centre,43,,"  Neemuch Main Road Vivek Path Nayka Galli, Neemuch HO, Neemuch - 458441, Near Shakti Fancy Store  ",,0.0,https://www.justdial.com/neemuch/Santoshi-Saree-Centre-Near-Shakti-Fancy-Store-Neemuch-HO/9999P7423-7423-120731165430-W4T4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Jodharaj Onkarlal,44,,"  Tilak Marg, Neemuch HO, Neemuch - 458441, Near Ghantaghar  ",,0.0,https://www.justdial.com/Neemuch/Jodharaj-Onkarlal-Near-Ghantaghar-Neemuch-HO/9999P7423-7423-110124222803-I4Q5_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Mohit Saree Center,45,,"  Laxminath Marg, Jawad, District- Neemuch, Jawad, Neemuch - 458330    ",,0.0,https://www.justdial.com/neemuch/Mohit-Saree-Center-Jawad/9999P7423-7423-140225120016-V1R7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Pradeep Cloth Store,46,,"  Sadar Bazar, Jeeran, District- Neemuch, Jeeran, Neemuch - 458336    ",,0.0,https://www.justdial.com/neemuch/Pradeep-Cloth-Store-Jeeran/9999P7423-7423-140331142307-N3M6_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Gangor Fancy Saree Store,47,,"  Hospital Road, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,0.0,https://www.justdial.com/neemuch/Gangor-Fancy-Saree-Store-Manasa/9999P7423-7423-140228143707-E2R4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Annapurna Saree Center,48,,"  Viajy Stambh, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,0.0,https://www.justdial.com/neemuch/Annapurna-Saree-Center-Manasa/9999P7423-7423-140228154449-X9X3_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Chetna Saree Center,49,,"  Sadar Bazar, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,0.0,https://www.justdial.com/neemuch/Chetna-Saree-Center-Manasa/9999P7423-7423-140228164009-E4C3_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Ghunghat Sarees,50,,"  Sadar Bazar, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,0.0,https://www.justdial.com/neemuch/Ghunghat-Sarees-Manasa/9999P7423-7423-140227115530-A9R1_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Pain Aisa,51,,"  Neemuch - 458110, Manasa  ",,0.0,https://www.justdial.com/neemuch/Pain-Aisa-Manasa/9999P7423-7423-190928015111-S6V3_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Krishna Computers,52,,"  Rampura, Neemuch - 458118, Near Hanuman Temple  ",,0.0,https://www.justdial.com/Neemuch/Krishna-Computers-Near-Hanuman-Temple/9999P7423-7423-180612114931-A7F7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Bhawanilal Hazarimal Cloth Merchant,53,,"  Indira Gandhi Market, Tehsil-Singoli, District-Neemuch, Singoli, Neemuch - 458228    ",,0.0,https://www.justdial.com/neemuch/Bhawanilal-Hazarimal-Cloth-Merchant-Singoli/9999P7423-7423-130830165207-S6R9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Yash Properties,54,,"  Veer Park Road, Neemuch, Neemuch Ho, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Yash-Properties-Neemuch-Ho/9999P7423-7423-140320144533-Y1K4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Roop Varsha,55,,"  Veer Park Road, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Roop-Varsha-Neemuch-HO/9999P7423-7423-140320143446-Q4Q7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Sajan Saree Center,56,,"  Tegore Marg, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Sajan-Saree-Center-Neemuch-HO/9999P7423-7423-140312110859-G3A1_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Dinesh Saree Sansar,57,,"  Tegore Marg, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Dinesh-Saree-Sansar-Neemuch-HO/9999P7423-7423-140312114502-W9Z5_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Godha Traders,58,,"  Jain Bhawan Road, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Godha-Traders-Neemuch-HO/9999P7423-7423-140311181442-N6M2_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Suiting Shirting Sarees,59,,"  Tegore Marg, Shopping Complex, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Suiting-Shirting-Sarees-Neemuch-HO/9999P7423-7423-140331090717-U3H4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Dulhan Saree,60,,"  Tilak Marg, Satya Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Dulhan-Saree-Neemuch-HO/9999P7423-7423-140404154019-G3G8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Dulhan Sarees,61,,"  29/2, Satya Path, Neemuch HO, Neemuch - 458441  ",Cash,0.0,https://www.justdial.com/neemuch/Dulhan-Sarees-Neemuch-HO/9999P7423-7423-130615084400-X3N8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Bandhan Sarees,62,,"  Kamal Chowk, Neemuch, Neemuch HO, Neemuch - 458441  ",,0.0,https://www.justdial.com/neemuch/Bandhan-Sarees-Neemuch-HO/9999P7423-7423-140319133518-K5T5_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Gaurav Paridhan,63,,"  Tegore Marg, Neemuch HO, Neemuch - 458441, Near Kamal Chowk    ",Cash,0.0,https://www.justdial.com/neemuch/Gaurav-Paridhan-Near-Kamal-Chowk-Neemuch-HO/9999P7423-7423-140319110608-E7H7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Mahaveer Sarees,64,,"  Tegore Marg, Jaju Market, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Mahaveer-Sarees-Neemuch-HO/9999P7423-7423-140331101842-M8Y6_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
